K,Inertia,Silhouette_Score
2,389.3861889564371,0.33547192894004574
3,295.2122461555489,0.357793388710272
4,205.22514747675916,0.4039582785148566
5,168.24758017556837,0.41664341513732767
6,133.86833362685582,0.42742814991580175
7,117.01155455889811,0.417231894954916
8,103.82857758796288,0.4086811760366162
9,92.34945767113052,0.4200735068174298
10,81.98705228228931,0.39728404472961004
